data_acidente;dispositivo_de_controle_de_trafego;condicao_climatica;condicao_de_iluminacao;primeiro_tipo_de_acidente;tipo_de_pista_de_trafego;alinhamento;superficie_da_estrada;defeito_da_estrada;tipo_de_acidente;relacionado_a_intersecao_i;dano;causa_contributiva_primaria;num_unidades;ferimento_mais_severo;ferimentos_total;ferimentos_fatais;ferimentos_incapacitantes;ferimentos_nao_incapacitantes;ferimentos_reportado_nao_evidente;ferimentos_sem_indicacao;hora_acidente;dia_semana_acidente;mes_acidente
07/29/2023 01:00:00 PM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA; GIRO ;NÃO DIVIDIDO;EM LINHA RETA E NIVELADA;DESCONHECIDO;DESCONHECIDO;SEM FERIMENTOS / DIRIGIR AFASTADO;S;$501 - $1,500;INCAPAZ DE DETERMINAR;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;3.0;13;7;7
08/13/2023 12:11:00 AM;SINAL DE TRÂNSITO;CLARO;ESCURO, ESTRADA ILUMINADA; GIRO ;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;GIRO INCORRETO/SEM SINAL ;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;0;1;8
12/09/2021 10:30:00 AM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA;TRASEIRA PARA TRÁS;INTERSEÇÃO EM T;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;$501 - $1,500;SEGUIR MUITO DE PERTO;3;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;3.0;10;5;12
08/09/2023 07:55:00 PM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA;ÂNGULO;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500;INCAPAZ DE DETERMINAR;2;LESÃO NÃO-INCAPACITANTE  ;5.0;0.0;0.0;5.0;0.0;0.0;19;4;8
08/19/2023 02:55:00 PM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA;TRASEIRA PARA TRÁS;INTERSEÇÃO EM T;EM LINHA RETA E NIVELADA;DESCONHECIDO;DESCONHECIDO;SEM FERIMENTOS / DIRIGIR AFASTADO;S;$501 - $1,500;HABILIDADES/CONHECIMENTO/EXPERIÊNCIA DE CONDUÇÃO;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;3.0;14;7;8
09/06/2023 12:59:00 AM;SEM CONTROLES;CHUVA;ESCURO, ESTRADA ILUMINADA;OBJETO FIXO;NÃO DIVIDIDO;EM LINHA RETA E NIVELADA;MOLHADO;DESCONHECIDO;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;N;$501 - $1,500;INCAPAZ DE DETERMINAR;1;LESÃO NÃO-INCAPACITANTE  ;2.0;0.0;0.0;2.0;0.0;0.0;0;4;9
12/20/2022 11:45:00 AM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA;TRASEIRA PARA FRENTE;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;$501 - $1,500;MANOBRA DE RÉ INADEQUADA;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;2.0;11;3;12
09/20/2023 02:38:00 PM;SEM CONTROLES;CLARO;LUZ DO DIA;ÂNGULO;DIVIDIDO - COM MEDIANA (NÃO ELEVADO)  ;CURVA E NIVELADA;SECO;SEM DEFEITOS;LESÃO E/OU REBOQUE DEVIDO A ACIDENTE;S;ACIMA DE $1,500; FALHAR EM DAR A DIREITA DE PASSAGEM;2;LESÃO NÃO-INCAPACITANTE  ;1.0;0.0;0.0;1.0;0.0;1.0;14;4;9
06/04/2018 06:42:00 PM;SINAL DE TRÂNSITO;CLARO;LUZ DO DIA;TRASEIRA PARA TRÁS;NÃO DIVIDIDO;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500;SEGUIR MUITO DE PERTO;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;3.0;18;2;6
09/07/2023 05:30:00 PM;SINAL DE PARE/LUMINOSO;CLARO;LUZ DO DIA;ÂNGULO;QUADRUPLICADA ;EM LINHA RETA E NIVELADA;SECO;SEM DEFEITOS;SEM FERIMENTOS / DIRIGIR AFASTADO;S;ACIMA DE $1,500; FALHAR EM DAR A DIREITA DE PASSAGEM;2;SEM INDICAÇÃO DE LESÃO  ;0.0;0.0;0.0;0.0;0.0;4.0;17;5;9
